"name","substanceId","casNo","ecNo","pubchem_cid","pubchem"
"glyceryl hydroxystearate/oleate esters","56216",,,,
"glyceryl isopalmitate","34075","94248-66-5","304-339-8",,
"glyceryl isostearate","76225","66085-00-5 / 32057-14-0","266-124-4",,
"glyceryl isostearate/myristate","34077","126539-55-7",,,
"glyceryl isostearates","34078",,,,
"glyceryl laurate/oleate","34083",,,,
"glyceryl laurate diacetate","90170","30899-62-8",,,
"glyceryl laurate se","76231",,,,
"glyceryl lauryl ether","56217",,,,
"glyceryl methacrylate","95082","5919-74-4",,,
"glyceryl montanate","34086","68476-38-0","270-679-8",,
"glyceryl myristyl lauroyl glutamate","92287","1562487-47-1",,,
"glyceryl oleate/elaidate","34090",,,,
"glyceryl oleate se","76238",,,,
"glyceryl olivate oleate estolides","93504",,,,
"glyceryl paba","56220","136-44-7","205-244-3",,
"glyceryl palmitate/stearate","76242","68002-71-1","268-084-3",,
"glyceryl palmitate lactate","34092",,,,
"glyceryl palmitoleate","34094","-","-",,
"glyceryl pentadecanoate","76244","104140-07-0 / 122636-37-7",,,
"glyceryl polyisobutenylsuccinate","56221",,,,
"glyceryl ricinoleate se","34099",,,,
"glyceryl sesquioleate","34101","90605-02-0","292-399-5",,
"glyceryl starch","76251",,,,
"glyceryl stearate","34103","31566-31-1","250-705-4/286-490-9",,
"glyceryl stearate/acetate","34109","27177-85-1",,,
"glyceryl stearate/malate","56223",,,,
"glyceryl stearate diacetate","34105","84931-78-2","284-599-6",,
"glyceryl stearate dimer dilinoleate copolymer","56222",,,,
"glyceryl stearate lactate","76255","12338-10-9","215-659-1",,
"glyceryl stearates","56224",,,,
"glyceryl stearate succinate","34108","102036-75-9",,,
"glyceryl tallowate","34111","61789-13-7","263-035-2",,
"glyceryl tetrahydrofarnesylacetate","92282","1313054-01-1",,,
"glyceryl thioglycolate","34112","30618-84-9","250-264-8",,
"glyceryl thiopropionate","34113","67874-65-1","267-492-9",,
"glyceryl tri-hydrogenated rosinate","56328",,,,
"glycidoxy dimethicone","83155","-","-",,
"glycidoxypropyl polysilsesquioxane","90424","68611-45-0",,,
"glycidoxypropyl silanetriol","90246","51287-18-4",,,
"glycidoxypropyl trimethoxysilane","85989","2530-83-8","219-784-2",,
"glycidoxypropyl trimethoxysilane/pei-250 crosspolymer fluorescent brightener 230 salt","92912",,,,
"glycinamide hcl","98348","1668-10-6","216-789-1",,
"glycine hcl","93664","6000-43-7","227-841-8",,
"glycine max adventitious root extract","95718",,,,
"glycine max callus culture","91772",,,,
"glycine max callus culture extract","89047",,,,
"glycine max callus extract","90422",,,,
"glycine max fiber","84851","-","-",,
"glycine max leaf cell extract","88760",,,,
"glycine max leaf extract","92233",,,,
"glycine max phytoplacenta conditioned media","89754",,,,
"glycine max phytoplacenta extract","91240",,,,
"glycine max polypeptide","56333",,,,
"glycine max pulp","91284",,,,
"glycine max root extract","96658",,,,
"glycine max seedcake extract","92156",,,,
"glycine max seedcoat extract","56334",,,,
"glycine max seed extract","84849","-","-",,
"glycine max seed powder","84852","-","-",,
"glycine max seed protein","96978",,,,
"glycine max symbiosome extract","56335",,,,
"glycine soja fiber","56336","-","-",,
"glycine soja flour","76358","68513-95-1","-",,
"glycine soja hull","56337","-","-",,
"glycine soja lipids","56338","-","-",,
"glycine soja oil","34121","8001-22-7","232-274-4",,
"glycine soja oil unsaponifiables","34122","91770-67-1","294-853-8",,
"glycine soja peptide","56339","-","-",,
"glycine soja phytoplacenta extract","84918","84776-91-0","-",,
"glycine soja seed","56340","-","-",,
"glycine soja seedcake extract","82959","84776-91-0","-",,
"glycine soja seed extract","56341","-","-",,
"glycine soja seed powder","56342","-","-",,
"glycine soja seed water","83441","-","-",,
"glycine soja sprout extract","34124","84776-91-0","-",,
"glycine soja sterols","34125","-","-",,
"glycine tomentella root extract","95151",,,,
"glycofurol","76365","9004-76-6 / 31692-85-0",,,
"glycol/butylene glycol montanate","34145",,,,
"glycol/sebacic acid copolymer","95255","25037-32-5",,,
"glycolamide stearate","34146","16509-77-6","240-576-2",,
"glycol cetearate","34129",,,,
"glycol dibehenate","76369","79416-55-0 / 344-64-8","279-153-2",,
"glycol diethylhexanoate","34131",,,,
"glycol dilaurate","34132","624-04-4","210-827-0",,
"glycol dimethacrylate","88080","97-90-5","202-617-2",,
"glycol dimethacrylate/vinyl alcohol crosspolymer","56343",,,,
"glycol dimethacrylate crosspolymer","87519","-","-",,
"glycol dioleate","34133","928-24-5","213-170-8",,
"glycol dipivalate","56345","20267-20-3","243-660-7",,
"glycol ditallowate","34135",,,,
"glycol ethylhexanoate","34136",,,,
"glycol hydroxystearate","34137","33907-46-9","251-732-4",,
"glycolide","94856","502-97-6","207-954-9",,
"glycol oleate","34139","4500-01-0","224-806-9",,
"glycol ricinoleate","34141","106-17-2","203-369-8",,
"glycol rosinate","56347",,,,
"glycol salicylate","34142","87-28-5","201-737-2",,
"glycol stearate se","76474","86418-55-5",,,
"glycol tallate","56457","68187-85-9","269-130-5",,
"glycosyl trehalose hydroxypropyltrimonium chloride","86708","-","-",,
"glycyl sh-oligopeptide-4","95569",,,,
"glycyl tyrosine","56460","39630-46-1",,,
"glycyrrhetinyl stearate","76483","4827-59-2",,,
"glycyrrhiza glabra callus culture extract","94072",,,,
"glycyrrhiza glabra leaf extract","56461","84775-66-6","283-895-2",,
"glycyrrhiza glabra meristem cell culture","88791",,,,
"glycyrrhiza glabra meristem cell culture extract","89288",,,,
"glycyrrhiza glabra rhizome/root","82203","68916-91-6","272-837-1",,
"glycyrrhiza glabra rhizome/root extract","84942","84775-66-6","283-895-2",,
"glycyrrhiza glabra root","56462","84775-66-6","283-895-2",,
"glycyrrhiza glabra root/sucrose ferment extract filtrate","95370",,,,
"glycyrrhiza glabra root juice","56463","84775-66-6","283-895-2",,
"glycyrrhiza glabra root oil","40096","84775-66-6","283-895-2",,
"glycyrrhiza glabra root powder","56464","84775-66-6","283-895-2",,
"glycyrrhiza glabra root water","56465","84775-66-6","283-895-2",,
"glycyrrhiza glabra stem extract","91276",,,,
"glycyrrhiza inflata root extract","56466",,,,
"glycyrrhiza pallidiflora root extract","91320",,,,
"glycyrrhiza uralensis extract","95542",,,,
"glycyrrhiza uralensis root extract","56467","94349-91-4","305-209-3",,
"glycyrrhiza uralensis root prenylflavonoids","84950","-","-",,
"glycyrrhiza uralensis sprout extract","95198",,,,
"glycyrrhizic acid","34156","1405-86-3","215-785-7",,
"glyoxyloyl carbocysteine","88884","1268868-51-4",,,
"glyoxyloyl cysteine","94506",,,,
"glyoxyloyl hydrolyzed wheat protein/sericin","89737",,,,
"glyoxyloyl keratin amino acids","88858",,,,
"gmelina arborea root extract","56468","92201-79-1","296-009-4",,
"gmelina arborea root powder","82750","92201-79-1","296-009-4",,
"gnaphalium affine extract","83717","-","-",,
"gnaphalium polycephalum extract","34160","91723-39-6","294-545-3",,
"gnetum gnemon seed extract","82304","-","-",,
"goat butter","92548",,,,
"goat fat","92619",,,,
"gold","56471","7440-57-5","231-165-9",,
"gold aspartate/glutamate","85172","-","-",,
"gold chloride hcl","85195","16903-35-8","240-948-4",,
"gold thioctate","95059",,,,
"gold thioethylamino hyaluronic acid","89536",,,,
"gold zeolite","90955",,,,
"gomphrena globosa flower","97022",,,,
"gomphrena globosa flower extract","87520","-","-",,
"gomphrena officinalis root extract","56472",,,,
"gondoic acid","90265","5561-99-9",,,
"gorgonia extract","34161","244058-54-6","-",,
"gossypium arboreum leaf cell extract","56473","-","-",,
"gossypium herbaceum bud extract","84694","-","-",,
"gossypium herbaceum callus culture","91306",,,,
"gossypium herbaceum callus extract","91822",,,,
"gossypium herbaceum callus powder","91528",,,,
"gossypium herbaceum flower extract","84695","-","-",,
"gossypium herbaceum flower water","88182","-","-",,
"gossypium herbaceum fruit water","56475","8001-29-4","232-280-7",,
"gossypium herbaceum powder","56476","8001-29-4","232-280-7",,
"gossypium herbaceum root extract","87971","-","-",,
"gossypium herbaceum seedcake extract","83203","223749-08-4","-",,
"gossypium herbaceum seed extract","34163","223749-08-4","-",,
"gossypium hirsutum extract","83447","8001-29-4","232-280-7",,
"gossypium hirsutum seed extract","89078","8001-29-4","232-280-7",,
"gracilaria conferta powder","95135",,,,
"gracilaria vermiculophylla extract","83865","-","-",,
"gracilaria verrucosa extract","84092","-","-",,
"gracilariopsis chorda extract","88557","-","-",,
"granite","97056",,,,
"grape seed oil glycereth-8 esters","87311","-","-",,
"grape seed oil peg-8 esters","56478",,,,
"grape seed oil polyglyceryl-6 esters","90830",,,,
"graphene oxide","98251",,,,
"graphite oxide","97664",,,,
"graptopetalum paraguayense extract","97272",,,,
"grass-hay herb extract","40097","100209-32-3","309-340-7",,
"grass-hay herb oil","40098","100209-32-3","309-340-7",,
"grateloupia elliptica extract","92102",,,,
"grateloupia livida powder","82915","-","-",,
"grateloupia sparsa extract","93576",,,,
"grevillea robusta flower extract","82752","-","-",,
"grevillea speciosa flower extract","82751","-","-",,
"greyia flanaganii leaf extract","93217",,,,
"greyia radlkoferi leaf extract","91553",,,,
"grifola frondosa/arctium lappa fruit extract ferment filtrate","91186",,,,
"grifola frondosa/ilex paraguariensis leaf extract ferment filtrate","92215",,,,
"grifola frondosa /licorice root extract ferment filtrate","90402",,,,
"grifola frondosa/ophioglossum vulgatum extract ferment filtrate","91187",,,,
"grifola frondosa /panax ginseng extract ferment filtrate","90701",,,,
"grifola frondosa fruiting body extract","82204","-","-",,
"grifola frondosa mycelium/arenaria kansuensis extract ferment filtrate","93665",,,,
"grifola frondosa mycelium/stellaria alsine extract ferment filtrate","93666",,,,
"grifola frondosa mycelium ferment filtrate extract","84962","-","-",,
"grifolia frondosa mycelium ferment filtrate extract","56482",,,,
"grindelia camporum extract","34166","90045-45-7","289-906-7",,
"grindelia camporum flower/leaf","82205","90045-45-7","289-906-7",,
"grindelia humilis extract","34168","94349-80-1","305-199-0",,
"grindelia humilis leaf","56484","94349-80-1","305-199-0",,
"grindelia robusta extract","34169","84696-17-3","283-635-8",,
"guaiacol","40099","90-05-1","201-964-7",,
"guaiacol acetate","40100","613-70-7","210-350-8",,
"guaiacol phenylacetate","40101","4112-89-4","223-898-8",,
"guaiacum officinale extract acetylated-sulfated","40102","100298-95-1","309-448-4",,
"guaiacum officinale wood oil","85292","84650-13-5","283-494-2",,
"guaiacum sanctum gum extract","40103","91723-40-9","294-546-9",,
"guaiacum sanctum gum oil","40104","91723-40-9","294-546-9",,
"guaiene","40105","88-84-6","201-860-1",,
"guanidine ferulamide","90184",,,,
"guanidine phosphate","34174","5423-22-3","226-551-9",,
"guanidinopentyl phenylisoxazolecarboxamide","92140",,,,
"guanylcystamine hbr","83276","15086-17-6","-",,
"guazuma ulmifolia extract","82585","-","-",,
"guazuma ulmifolia leaf extract","82586","-","-",,
"guizotia abyssinica seed oil","82265","-","-",,
"gutta percha","34178","9000-32-2","232-537-3",,
"gymnanthemum amygdalinum leaf","92063",,,,
"gymnanthemum amygdalinum leaf extract","93014",,,,
"gymnaster savatieri extract","56486",,,,
"gymnema sylvestre cell culture extract","86655","90045-47-9","289-908-8",,
"gymnema sylvestre leaf extract","56487","90045-47-9","289-908-8",,
"gymnema sylvestre leaf powder","94685",,,,
"gymnema sylvestre stem extract","86654","90045-47-9","289-908-8",,
"gynostemma pentaphyllum/luffa cylindrica hybrid cell extract","56490","-","-",,
"gynostemma pentaphyllum callus extract","97529",,,,
"gynostemma pentaphyllum leaf/stem extract","82696","-","-",,
"gynostemma pentaphyllum leaf extract","56489","-","-",,
"gynostemma pentaphyllum powder","88665","-","-",,
"gynura bicolor extract","56491",,,,
"gynura procumbens leaf extract","87138","-","-",,
"haberlea rhodopensis callus extract","93092",,,,
